date,open,high,low,close,volume,Name,vo_spike,VO_upperline,VO_lowerline,MS_YS1,MS_RK3,MS_RK4,MS_RK5,MS_RK6,MS_UP,MS_DOWN,MS_Oo,MS_CC,MS_COLOR
2013-02-08,27.92,28.325,27.92,28.185,7146296,SBUX,0.265,,,28.15375,5,,,5,5,5,,,
2013-02-11,28.26,28.26,27.93,28.07,5457354,SBUX,-0.19,,,28.0825,0.333333333,,,0.333333333,0.333333333,0.333333333,,,
2013-02-12,28,28.275,27.975,28.13,8665592,SBUX,0.13,,,28.1275,,,,,,,,,
2013-02-13,28.23,28.23,27.75,27.915,7022056,SBUX,-0.315,,,27.9525,,,,,,,,,
2013-02-14,27.765,27.905,27.675,27.775,8899188,SBUX,0.01,,,27.7825,28.01975,0.153552719,-309.0143914,-309.0143914,-101.2270194,-31.96456201,-101.2270194,-31.96456201,red
2013-02-15,27.805,27.85,27.085,27.17,18195730,SBUX,-0.635,,,27.31875,27.99733333,0.327228418,-414.7459671,-206.0095943,-67.48467957,-21.30970801,-67.48467957,-21.30970801,red
2013-02-19,27.18,27.305,27.01,27.225,11760912,SBUX,0.045,,,27.19125,27.92572222,0.404427257,-363.2159848,-240.3445267,-147.9945835,-47.94881179,-147.9945835,-47.94881179,red
2013-02-20,27.3,27.42,26.59,26.655,12472506,SBUX,-0.645,,,26.83,27.72339815,0.454289452,-393.3167033,-298.4783401,-167.3329204,-54.46076772,-167.3329204,-54.46076772,red
2013-02-21,26.535,26.82,26.26,26.675,13896450,SBUX,0.14,,,26.6075,27.54601543,0.454659385,-412.8433123,-320.057555,-191.6701225,-85.63870632,-191.6701225,-85.63870632,red
2013-02-22,26.85,27.105,26.64,27.085,11487316,SBUX,0.235,,,26.97875,27.30734362,0.283062769,-232.1701455,-344.4772711,-227.2728617,-112.870111,-227.2728617,-112.870111,red
2013-02-25,27.2,27.355,26.6,26.605,12333954,SBUX,-0.595,,,26.79125,27.07406241,0.21866677,-258.669769,-367.2659515,-258.2010928,-139.1367815,-258.2010928,-139.1367815,red
2013-02-26,26.715,26.93,26.425,26.64,10607724,SBUX,-0.075,,,26.65875,27.04229161,0.146933765,-522.0605487,-322.2340162,-286.9598189,-168.5154749,-286.9598189,-168.5154749,red
2013-02-27,26.625,27.4875,26.54,27.285,12056302,SBUX,0.66,,,27.149375,26.95861107,0.22594662,168.8575179,-301.0459338,-313.7285298,-198.4106809,-313.7285298,-198.4106809,red
2013-02-28,27.325,27.585,27.225,27.425,10394356,SBUX,0.1,,,27.415,26.85865738,0.297912791,373.493609,-374.7174721,-316.5636919,-227.9270602,-316.5636919,-227.9270602,red
2013-03-01,27.315,27.465,27,27.435,8451764,SBUX,0.12,,,27.33375,26.95556325,0.332308921,227.6115517,-193.5258088,-311.3911059,-256.5275501,-311.3911059,-256.5275501,red
2013-03-04,27.385,27.86,27.33,27.85,10193852,SBUX,0.465,,,27.7225,27.10870884,0.392754595,312.5570885,-4.519336189,-332.4998946,-276.5395974,-332.4998946,-276.5395974,red
2013-03-05,28,28.4,28,28.255,12931844,SBUX,0.255,,,28.2275,27.18372256,0.421997112,494.6846378,72.85762643,-286.1751993,-288.1567669,-288.1567669,-286.1751993,GREEN
